Timestamp;IMU_angle[0];Set_Yaw
128783000;-91.645790;-90.009010
128794000;-91.644867;-90.009010
128804000;-91.645836;-90.009010
128815000;-91.647003;-90.009010
128827000;-91.647331;-90.009010
128837000;-91.648499;-90.009010
128848000;-91.648849;-90.009010
128858000;-91.649338;-90.009010
128868000;-91.649437;-90.009010
128879000;-91.649261;-90.009010
128889000;-91.649841;-90.009010
128900000;-91.651352;-90.009010
128910000;-91.651627;-90.009010
128920000;-91.650238;-90.009010
128931000;-91.651009;-90.009010
128942000;-91.651558;-90.009010
128953000;-91.651184;-90.009010
128965000;-91.650696;-90.009010
128976000;-91.650604;-90.009010
128986000;-91.650566;-90.009010
128996000;-91.650742;-90.009010
129007000;-91.650658;-90.009010
129018000;-91.651199;-90.009010
129029000;-91.650154;-90.009010
129039000;-91.648384;-90.009010
129049000;-91.648987;-90.009010
129059000;-91.648911;-90.009010
129070000;-91.649353;-90.009010
129081000;-91.651398;-90.009010
129091000;-91.652229;-90.009010
129102000;-91.652679;-90.009010
129112000;-91.653091;-90.009010
129122000;-91.653214;-90.009010
129134000;-91.653732;-90.009010
129145000;-91.653839;-90.009010
129156000;-91.654526;-90.009010
129167000;-91.653549;-90.009010
129179000;-91.654083;-90.009010
129189000;-91.654037;-90.009010
129200000;-91.653198;-90.009010
129210000;-91.652985;-90.009010
129220000;-91.652161;-90.009010
129231000;-91.653000;-90.009010
129242000;-91.653671;-90.009010
129253000;-91.654137;-90.009010
129263000;-91.652435;-90.009010
129273000;-91.653259;-90.009010
129284000;-91.652618;-90.009010
129295000;-91.653885;-90.009010
129305000;-91.653046;-90.009010
129316000;-91.653580;-90.009010
129327000;-91.654617;-90.009010
129337000;-91.653656;-90.009010
129348000;-91.653687;-90.009010
129358000;-91.655869;-90.009010
129368000;-91.657455;-90.009010
129378000;-91.656860;-90.009010
129390000;-91.656647;-90.009010
129401000;-91.655029;-90.009010
129413000;-91.654785;-90.009010
129423000;-91.656921;-90.009010
129434000;-91.657104;-90.009010
129445000;-91.655922;-90.009010
129455000;-91.655563;-90.009010
129466000;-91.655067;-90.009010
129476000;-91.655113;-90.009010
129487000;-91.655884;-90.009010
129497000;-91.655930;-90.009010
129508000;-91.655640;-90.009010
129519000;-91.655670;-90.009010
129529000;-91.655853;-90.009010
129541000;-91.656189;-90.009010
129551000;-91.655624;-90.009010
129562000;-91.656151;-90.009010
129574000;-91.656555;-90.009010
129584000;-91.657776;-90.009010
129594000;-91.658844;-90.009010
129606000;-91.658058;-90.009010
129616000;-91.657410;-90.009010
129627000;-91.658981;-90.009010
129638000;-91.658035;-90.009010
129649000;-91.658859;-90.009010
129659000;-91.658401;-90.009010
129670000;-91.658264;-90.009010
129680000;-91.657715;-90.009010
129690000;-91.658966;-90.009010
129701000;-91.657860;-90.009010
129711000;-91.658676;-90.009010
129722000;-91.657013;-90.009010
129733000;-91.657860;-90.009010
129744000;-91.656403;-90.009010
129755000;-91.656723;-90.009010
129765000;-91.658089;-90.009010
129777000;-91.656448;-90.009010
129788000;-91.656799;-90.009010
129800000;-91.656708;-90.009010
129811000;-91.657272;-90.009010
129822000;-91.657455;-90.009010
129832000;-91.657951;-90.009010
129842000;-91.658508;-90.009010
129853000;-91.658485;-90.009010
129863000;-91.659760;-90.009010
129873000;-91.659134;-90.009010
129884000;-91.660645;-90.009010
129894000;-91.661232;-90.009010
129905000;-91.661057;-90.009010
129915000;-91.661804;-90.009010
129926000;-91.660049;-90.009010
129937000;-91.659195;-90.009010
129948000;-91.658798;-90.009010
129958000;-91.658585;-90.009010
129969000;-91.658737;-90.009010
129980000;-91.657913;-90.009010
129990000;-91.658707;-90.009010
130000000;-91.656982;-90.009010
130011000;-91.657501;-90.009010
130022000;-91.656967;-90.009010
130033000;-91.656609;-90.009010
130044000;-91.655823;-90.009010
130054000;-91.656677;-90.009010
130065000;-91.657822;-90.009010
130076000;-91.657257;-90.009010
130086000;-91.656677;-90.009010
130097000;-91.656631;-90.009010
130107000;-91.656754;-90.009010
130118000;-91.655701;-90.009010
130128000;-91.656082;-90.009010
130138000;-91.657883;-90.009010
130149000;-91.655373;-90.009010
130160000;-91.657257;-90.009010
130171000;-91.656883;-90.009010
130181000;-91.655930;-90.009010
130192000;-91.655014;-90.009010
130202000;-91.655426;-90.009010
130212000;-91.655663;-90.009010
130224000;-91.656265;-90.009010
130234000;-91.655518;-90.009010
130246000;-91.655472;-90.009010
130257000;-91.655380;-90.009010
130267000;-91.656998;-90.009010
130278000;-91.655708;-90.009010
130288000;-91.655182;-90.009010
130299000;-91.654221;-90.009010
130309000;-91.655151;-90.009010
130320000;-91.654366;-90.009010
130330000;-91.654770;-90.009010
130341000;-91.654678;-90.009010
130352000;-91.654869;-90.009010
130363000;-91.654373;-90.009010
130374000;-91.653183;-90.009010
130384000;-91.652756;-90.009010
130394000;-91.652634;-90.009010
130405000;-91.652718;-90.009010
130415000;-91.653214;-90.009010
130427000;-91.654526;-90.009010
130437000;-91.656136;-90.009010
130448000;-91.656647;-90.009010
130459000;-91.655899;-90.009010
130470000;-91.655411;-90.009010
130480000;-91.656288;-90.009010
130491000;-91.655075;-90.009010
130502000;-91.654404;-90.009010
130512000;-91.654678;-90.009010
130522000;-91.655289;-90.009010
130533000;-91.655701;-90.009010
130543000;-91.656876;-90.009010
130555000;-91.656052;-90.009010
130565000;-91.656128;-90.009010
130576000;-91.656097;-90.009010
130587000;-91.655472;-90.009010
130597000;-91.655197;-90.009010
130608000;-91.656525;-90.009010
130619000;-91.655754;-90.009010
130630000;-91.655502;-90.009010
130641000;-91.655899;-90.009010
130652000;-91.656754;-90.009010
130663000;-91.656700;-90.009010
130674000;-91.657547;-90.009010
130685000;-91.659973;-90.009010
130697000;-91.659355;-90.009010
130708000;-91.659088;-90.009010
130718000;-91.659729;-90.009010
130730000;-91.659348;-90.009010
130741000;-91.660728;-90.009010
130751000;-91.659531;-90.009010
130762000;-91.661209;-90.009010
130772000;-91.660759;-90.009010
130784000;-91.660309;-90.009010
130794000;-91.660545;-90.009010
130805000;-91.659698;-90.009010
130815000;-91.659813;-90.009010
130825000;-91.661537;-90.009010
130836000;-91.659767;-90.009010
130846000;-91.658463;-90.009010
130856000;-91.657257;-90.009010
130868000;-91.658478;-90.009010
130878000;-91.658295;-90.009010
130889000;-91.658096;-90.009010
130900000;-91.657646;-90.009010
130912000;-91.658409;-90.009010
130923000;-91.657349;-90.009010
130933000;-91.657402;-90.009010
130944000;-91.657791;-90.009010
130954000;-91.656586;-90.009010
130964000;-91.655266;-90.009010
130976000;-91.656471;-90.009010
130987000;-91.658188;-90.009010
130998000;-91.657883;-90.009010
131008000;-91.658569;-90.009010
131019000;-91.659325;-90.009010
131029000;-91.659729;-90.009010
131040000;-91.660538;-90.009010
131050000;-91.660187;-90.009010
131061000;-91.661270;-90.009010
131072000;-91.660736;-90.009010
131083000;-91.661423;-90.009010
131093000;-91.661758;-90.009010
131103000;-91.661835;-90.009010
131114000;-91.662140;-90.009010
131125000;-91.663284;-90.009010
131136000;-91.662483;-90.009010
131146000;-91.661118;-90.009010
131157000;-91.661072;-90.009010
131167000;-91.661369;-90.009010
131178000;-91.661301;-90.009010
131189000;-91.662430;-90.009010
131199000;-91.663940;-90.009010
131209000;-91.664040;-90.009010
131220000;-91.664085;-90.009010
131230000;-91.663498;-90.009010
131242000;-91.663162;-90.009010
131252000;-91.662811;-90.009010
131263000;-91.663132;-90.009010
131274000;-91.664536;-90.009010
131285000;-91.663620;-90.009010
131295000;-91.663132;-90.009010
131305000;-91.664688;-90.009010
131316000;-91.664528;-90.009010
131326000;-91.664932;-90.009010
131337000;-91.664963;-90.009010
131348000;-91.664276;-90.009010
131359000;-91.664398;-90.009010
131369000;-91.664932;-90.009010
131380000;-91.666245;-90.009010
131390000;-91.666290;-90.009010
131401000;-91.667892;-90.009010
131413000;-91.667526;-90.009010
131424000;-91.668015;-90.009010
131434000;-91.668243;-90.009010
131445000;-91.668365;-90.009010
131455000;-91.668037;-90.009010
131467000;-91.669052;-90.009010
131478000;-91.669327;-90.009010
131488000;-91.669113;-90.009010
131500000;-91.668465;-90.009010
131511000;-91.670334;-90.009010
131522000;-91.670303;-90.009010
131533000;-91.671997;-90.009010
131544000;-91.672180;-90.009010
131554000;-91.672997;-90.009010
131565000;-91.672211;-90.009010
131576000;-91.672348;-90.009010
131586000;-91.672585;-90.009010
131597000;-91.671501;-90.009010
131608000;-91.670807;-90.009010
131619000;-91.670540;-90.009010
131630000;-91.670303;-90.009010
131640000;-91.670609;-90.009010
131651000;-91.671341;-90.009010
131662000;-91.669891;-90.009010
131672000;-91.669167;-90.009010
131683000;-91.669922;-90.009010
131693000;-91.668259;-90.009010
131703000;-91.666504;-90.009010
131715000;-91.666779;-90.009010
131725000;-91.666473;-90.009010
131735000;-91.666046;-90.009010
131746000;-91.665588;-90.009010
131756000;-91.665878;-90.009010
131767000;-91.665451;-90.009010
131777000;-91.666306;-90.009010
131788000;-91.666229;-90.009010
131799000;-91.666939;-90.009010
131810000;-91.666275;-90.009010
131820000;-91.666695;-90.009010
131831000;-91.666023;-90.009010
131842000;-91.667297;-90.009010
131852000;-91.667053;-90.009010
131864000;-91.666779;-90.009010
131874000;-91.666260;-90.009010
131885000;-91.665054;-90.009010
131896000;-91.664764;-90.009010
131908000;-91.663345;-90.009010
131918000;-91.664246;-90.009010
131928000;-91.664200;-90.009010
131939000;-91.664795;-90.009010
131949000;-91.665390;-90.009010
131961000;-91.664688;-90.009010
131972000;-91.662582;-90.009010
131982000;-91.661194;-90.009010
131993000;-91.662079;-90.009010
132004000;-91.663223;-90.009010
132015000;-91.664276;-90.009010
132025000;-91.664093;-90.009010
132037000;-91.663872;-90.009010
132048000;-91.663094;-90.009010
132058000;-91.663376;-90.009010
132069000;-91.663971;-90.009010
132079000;-91.664078;-90.009010
132090000;-91.664742;-90.009010
132101000;-91.666298;-90.009010
132112000;-91.666092;-90.009010
132123000;-91.665810;-90.009010
132133000;-91.667130;-90.009010
132144000;-91.666321;-90.009010
132155000;-91.666862;-90.009010
132166000;-91.666252;-90.009010
132176000;-91.666672;-90.009010
132187000;-91.667267;-90.009010
132197000;-91.667786;-90.009010
132208000;-91.666840;-90.009010
132219000;-91.666519;-90.009010
132230000;-91.666306;-90.009010
132241000;-91.666321;-90.009010
132252000;-91.668655;-90.009010
132262000;-91.669182;-90.009010
132273000;-91.668953;-90.009010
132284000;-91.668457;-90.009010
132296000;-91.667892;-90.009010
132306000;-91.667465;-90.009010
132317000;-91.668579;-90.009010
132328000;-91.670197;-90.009010
132338000;-91.670334;-90.009010
132349000;-91.669830;-90.009010
132359000;-91.669540;-90.009010
132370000;-91.670837;-90.009010
132381000;-91.670135;-90.009010
132391000;-91.669273;-90.009010
132401000;-91.669830;-90.009010
132412000;-91.669449;-90.009010
132423000;-91.669434;-90.009010
132433000;-91.668579;-90.009010
132444000;-91.669388;-90.009010
132454000;-91.670151;-90.009010
132465000;-91.669113;-90.009010
132475000;-91.670052;-90.009010
132486000;-91.670822;-90.009010
132496000;-91.669090;-90.009010
132507000;-91.670197;-90.009010
132517000;-91.670364;-90.009010
132527000;-91.670486;-90.009010
132537000;-91.671265;-90.009010
132547000;-91.671280;-90.009010
132558000;-91.670593;-90.009010
132569000;-91.670288;-90.009010
132580000;-91.672989;-90.009010
132590000;-91.672729;-90.009010
132601000;-91.672333;-90.009010
132611000;-91.671921;-90.009010
132621000;-91.671478;-90.009010
132631000;-91.671448;-90.009010
132642000;-91.671768;-90.009010
132652000;-91.673126;-90.009010
132662000;-91.673134;-90.009010
132672000;-91.673088;-90.009010
132684000;-91.673584;-90.009010
132695000;-91.674316;-90.009010
132706000;-91.674141;-90.009010
132716000;-91.673065;-90.009010
132727000;-91.672287;-90.009010
132738000;-91.672409;-90.009010
132749000;-91.670975;-90.009010
132759000;-91.673508;-90.009010
132770000;-91.672256;-90.009010
132780000;-91.671890;-90.009010
132791000;-91.673447;-90.009010
132802000;-91.673645;-90.009010
132813000;-91.671600;-90.009010
132823000;-91.670319;-90.009010
132833000;-91.669479;-90.009010
132844000;-91.670486;-90.009010
132854000;-91.671005;-90.009010
132865000;-91.671524;-90.009010
132875000;-91.669922;-90.009010
132887000;-91.670456;-90.009010
132898000;-91.670135;-90.009010
132908000;-91.671600;-90.009010
132919000;-91.672646;-90.009010
132929000;-91.673325;-90.009010
132940000;-91.673477;-90.009010
132951000;-91.671219;-90.009010
132961000;-91.670624;-90.009010
132971000;-91.671936;-90.009010
132982000;-91.671371;-90.009010
132993000;-91.671570;-90.009010
133003000;-91.670670;-90.009010
133014000;-91.671951;-90.009010
133025000;-91.672203;-90.009010
133037000;-91.671967;-90.009010
133048000;-91.671616;-90.009010
133058000;-91.672127;-90.009010
133068000;-91.673737;-90.009010
133080000;-91.674316;-90.009010
133090000;-91.675552;-90.009010
133101000;-91.674988;-90.009010
133112000;-91.674240;-90.009010
133122000;-91.673721;-90.009010
133132000;-91.674332;-90.009010
133143000;-91.673660;-90.009010
133153000;-91.674889;-90.009010
133164000;-91.673592;-90.009010
133174000;-91.673340;-90.009010
133185000;-91.673386;-90.009010
133195000;-91.673462;-90.009010
133205000;-91.673645;-90.009010
133216000;-91.674950;-90.009010
133227000;-91.676132;-90.009010
133238000;-91.674492;-90.009010
133248000;-91.675095;-90.009010
133258000;-91.674408;-90.009010
133268000;-91.675125;-90.009010
133279000;-91.673065;-90.009010
133290000;-91.672745;-90.009010
133300000;-91.671448;-90.009010
133310000;-91.671982;-90.009010
133321000;-91.670860;-90.009010
133331000;-91.669434;-90.009010
133341000;-91.669022;-90.009010
133352000;-91.669434;-90.009010
133362000;-91.669403;-90.009010
133373000;-91.668884;-90.009010
133383000;-91.669113;-90.009010
133394000;-91.668312;-90.009010
133405000;-91.670013;-90.009010
133415000;-91.671562;-90.009010
133425000;-91.670166;-90.009010
133436000;-91.668968;-90.009010
133447000;-91.670082;-90.009010
133458000;-91.670135;-90.009010
133469000;-91.669785;-90.009010
133479000;-91.671234;-90.009010
133489000;-91.670380;-90.009010
133499000;-91.671249;-90.009010
133510000;-91.671692;-90.009010
133520000;-91.671616;-90.009010
133531000;-91.672974;-90.009010
133541000;-91.673096;-90.009010
133552000;-91.673607;-90.009010
133562000;-91.672005;-90.009010
133573000;-91.671219;-90.009010
133583000;-91.670578;-90.009010
133593000;-91.672791;-90.009010
133604000;-91.672325;-90.009010
133615000;-91.672134;-90.009010
133626000;-91.672585;-90.009010
133636000;-91.672195;-90.009010
133647000;-91.671822;-90.009010
133658000;-91.672714;-90.009010
133669000;-91.672287;-90.009010
133680000;-91.671967;-90.009010
133691000;-91.672577;-90.009010
133701000;-91.672539;-90.009010
133712000;-91.672699;-90.009010
133722000;-91.673470;-90.009010
133733000;-91.672928;-90.009010
133743000;-91.673058;-90.009010
133754000;-91.673523;-90.009010
133765000;-91.673737;-90.009010
133776000;-91.674232;-90.009010
133786000;-91.674103;-90.009010
133797000;-91.673111;-90.009010
133808000;-91.673698;-90.009010
133818000;-91.673706;-90.009010
133830000;-91.673294;-90.009010
133841000;-91.673981;-90.009010
133851000;-91.674438;-90.009010
133861000;-91.675262;-90.009010
133872000;-91.675751;-90.009010
133883000;-91.675613;-90.009010
133893000;-91.677055;-90.009010
133904000;-91.679108;-90.009010
133914000;-91.678528;-90.009010
133925000;-91.678665;-90.009010
133935000;-91.680649;-90.009010
133946000;-91.677933;-90.009010
133956000;-91.679512;-90.009010
133967000;-91.679749;-90.009010
133977000;-91.680405;-90.009010
133988000;-91.680084;-90.009010
133999000;-91.680359;-90.009010
134009000;-91.679916;-90.009010
134019000;-91.679382;-90.009010
134030000;-91.679489;-90.009010
134040000;-91.679787;-90.009010
134051000;-91.680756;-90.009010
134062000;-91.680222;-90.009010
134073000;-91.680939;-90.009010
134084000;-91.681252;-90.009010
134094000;-91.680908;-90.009010
134104000;-91.682312;-90.009010
134114000;-91.681061;-90.009010
134126000;-91.682129;-90.009010
134136000;-91.683319;-90.009010
134147000;-91.683075;-90.009010
134158000;-91.681030;-90.009010
134169000;-91.682068;-90.009010
134180000;-91.683899;-90.009010
134191000;-91.684639;-90.009010
134202000;-91.683167;-90.009010
134213000;-91.683990;-90.009010
134224000;-91.683289;-90.009010
134235000;-91.681793;-90.009010
134246000;-91.680511;-90.009010
134257000;-91.682770;-90.009010
134268000;-91.681564;-90.009010
134279000;-91.682220;-90.009010
134289000;-91.681862;-90.009010
134299000;-91.681839;-90.009010
134310000;-91.682121;-90.009010
134321000;-91.681992;-90.009010
134331000;-91.682678;-90.009010
134342000;-91.682922;-90.009010
134352000;-91.682953;-90.009010
134363000;-91.682343;-90.009010
134374000;-91.683121;-90.009010
134384000;-91.683456;-90.009010
134395000;-91.683014;-90.009010
134406000;-91.683502;-90.009010
134417000;-91.683830;-90.009010
134428000;-91.683067;-90.009010
134439000;-91.684502;-90.009010
134450000;-91.683960;-90.009010
134461000;-91.684387;-90.009010
134472000;-91.684418;-90.009010
134483000;-91.685516;-90.009010
134493000;-91.683990;-90.009010
134503000;-91.683258;-90.009010
134513000;-91.683640;-90.009010
134524000;-91.683670;-90.009010
134536000;-91.683548;-90.009010
134546000;-91.682709;-90.009010
134558000;-91.682686;-90.009010
134568000;-91.682129;-90.009010
134580000;-91.683548;-90.009010
